overlap_route,wn_only_control,match_distance
MCO-PIT,DEN-MDW,0.24553082264585205
MCO-STL,LAS-SEA,0.2602935362067541
DTW-MCO,LAX-SEA,0.3162599918782531
MCI-MCO,DEN-OAK,0.3658356499552683
CMH-FLL,BUR-DEN,0.46199076531896227
CMH-MCO,BNA-PHL,0.4664217334126004
BWI-LAX,FLL-LAS,0.48493911362352204
BWI-TPA,OAK-SEA,0.5270132058909436
MDW-RSW,AUS-MCO,0.5537311956599018
BWI-RSW,BNA-DEN,0.555878926937059
MCO-PHL,DEN-LAS,0.6154419884492656
BWI-SEA,DTW-SAN,0.6228536833517964
IND-LAS,CLE-LAS,0.6548631117944675
BUF-MCO,DEN-SAN,0.6594265231336935
IND-TPA,SEA-SJC,0.6623968672437576
PIT-TPA,CLE-MCO,0.8479299500210027
BWI-FLL,SEA-SMF,0.9262944729981581
FLL-IND,DEN-ONT,0.9543792336108856
IND-MCO,PDX-SLC,0.9869828786449977
MCO-MDW,AUS-LAX,0.9973584732352647
BWI-MCO,OAK-PDX,1.0761332202838605
BWI-PBI,AUS-PHL,1.2846693434408931
FLL-PIT,SAN-SEA,1.5664523800325023
