overlap_route,control_route,minority_carrier_share_2009Q2,total_log_change,carrier_mix_log_change,within_carrier_log_change
IND-LAS,LAS-MKE,0.03792997542997543,-0.3272629149999178,0.0096739406541122,-0.33693685565403
BWI-RSW,BWI-MIA,0.49639501857111645,0.19989816505479308,-0.011216278284666537,0.2111144433394596
MCI-MCO,MCO-MKE,0.19469026548672566,0.12286919371761407,0.05241232089051984,0.07045687282709423
MDW-RSW,HPN-PBI,0.34514563106796114,-0.05645038916977452,-0.05262602802587679,-0.0038243611438977254
MCO-STL,LGA-MCO,0.12141816415735794,0.07771727706329745,0.027884029280904166,0.049833247782393286
BWI-PBI,IND-RSW,0.05488331892826275,0.01185660798149435,-0.01009961299775508,0.02195622097924943
CMH-MCO,HPN-MCO,0.28880572730231047,-0.03265567750362308,-0.008608947873238293,-0.02404672963038479
FLL-IND,BUF-RSW,0.10301953818827708,-0.11149216179162824,0.45678034501811204,-0.5682725068097403
CMH-FLL,DCA-RSW,0.24044829342842589,0.2704385108056542,0.01093719568488627,0.2595013151207679
MCO-MDW,DFW-MCO,0.33276052534675343,0.06366008812793478,0.0006723527707386268,0.06298773535719615
IND-TPA,MCO-ROC,0.4039915331115815,-0.1027511635302325,0.02494984158350899,-0.1277010051137415
MCO-PIT,ATL-MIA,0.4024896265560166,0.11944041608525868,0.0224653325917048,0.09697508349355388
DTW-MCO,MCO-SJU,0.054470382721931075,0.003471783694476649,0.07488194448378582,-0.07141016078930917
BWI-MCO,ATL-FLL,0.3732086158070883,0.20704560221752555,0.03076860390129177,0.17627699831623378
BWI-LAX,ATL-PHX,0.17582417582417584,-0.04179074371948577,0.041992320014662354,-0.08378306373414812
PIT-TPA,ATL-PBI,0.16628982528263103,-0.11472803436959111,-0.01863374385532346,-0.09609429051426766
FLL-PIT,ROC-TPA,0.12807881773399016,-0.23306717225620677,0.030981759896388184,-0.26404893215259495
IAD-MCO,BOS-MCO,0.11836048158640226,-0.12759056635011223,0.1574245467787465,-0.28501511312885874
BWI-SEA,MKE-SFO,0.06823925863521482,-0.14283010198009016,-0.416896504652815,0.27406640267272486
BUF-MCO,MKE-TPA,0.20660499353426837,-0.08140483469166337,0.029753774995472604,-0.11115860968713598
IND-MCO,MCO-RIC,0.36350720519585955,0.09654652629946892,-0.052419974659503765,0.14896650095897268
BWI-FLL,DCA-MCO,0.4757854406130268,-0.04294904331774507,0.0422777097854512,-0.08522675310319627
BWI-TPA,ACY-MCO,0.33190160093713394,0.3689386685295375,0.04629765132798269,0.3226410172015548
MCO-PHL,ATL-MCO,0.22660355902510987,0.17879456236437452,-0.012082575619516867,0.1908771379838914
