overlap_route,airtran_only_control,match_distance
IND-LAS,LAS-MKE,0.2830603107842833
BWI-RSW,BWI-MIA,0.3111992335731369
MCI-MCO,MCO-MKE,0.39153704988108695
MDW-RSW,HPN-PBI,0.44661800362548043
MCO-STL,LGA-MCO,0.5705214141322749
BWI-PBI,IND-RSW,0.6387907006734039
CMH-MCO,HPN-MCO,0.7179615605101305
FLL-IND,BUF-RSW,0.7807638132335842
CMH-FLL,DCA-RSW,0.786558525839675
MCO-MDW,DFW-MCO,0.8308806815689327
IND-TPA,MCO-ROC,0.8485554792557749
MCO-PIT,ATL-MIA,0.8599749995357645
DTW-MCO,MCO-SJU,0.8951542335910917
BWI-MCO,ATL-FLL,0.8970306337559044
BWI-LAX,ATL-PHX,0.9464179628653271
PIT-TPA,ATL-PBI,1.1160093487695992
FLL-PIT,ROC-TPA,1.187297473357462
IAD-MCO,BOS-MCO,1.2680578841762744
BWI-SEA,MKE-SFO,1.3177022093630222
BUF-MCO,MKE-TPA,1.4270237423964838
IND-MCO,MCO-RIC,1.5511509112125603
BWI-FLL,DCA-MCO,1.8687801961157728
BWI-TPA,ACY-MCO,2.085431150896097
MCO-PHL,ATL-MCO,2.262462356820234
