overlap_route,other_lcc_control,match_distance
MDW-RSW,FLL-ORD,0.39684810069078125
MCO-STL,FLL-SJU,0.3974479070779503
BUF-MCO,LGB-SEA,0.4301708646953098
BWI-LAX,JFK-SAN,0.45336434643062873
FLL-PIT,BOS-MYR,0.5480608626005796
BWI-PBI,BLI-LAS,0.6151279638462966
IAD-MCO,DEN-DFW,0.6956874639266044
IND-TPA,LGB-SLC,0.7325690872325787
MCO-PHL,SEA-SFO,0.7397862521752167
MCO-MDW,JFK-MCO,0.7401885676433092
PIT-TPA,LGA-MYR,0.7600989881444372
IND-LAS,LGA-PBI,0.7850760019589761
FLL-IND,LAX-MFR,0.7960315927512356
MCO-PIT,JFK-ORD,1.0041992673072637
BWI-RSW,CLT-JFK,1.042207928930265
MCI-MCO,JFK-TPA,1.0648152719776471
BWI-MCO,DTW-LGA,1.1608486730279097
CMH-FLL,DTW-MYR,1.2106876547926517
DTW-MCO,BOS-ORD,1.2351564963671156
BWI-SEA,AUS-BOS,1.2533903863090186
CMH-MCO,BOS-RIC,1.2679060672420897
IND-MCO,JFK-RDU,1.2822931178336225
BWI-FLL,BOS-IAD,1.4323811194981668
BWI-TPA,BOS-RDU,1.7083957767373952
