overlap_route,pretrend_matched_control,match_distance
BWI-RSW,BWI-MIA,0.3786999442060065
MCI-MCO,MCO-MKE,0.46257993370538364
MCO-STL,LGA-MCO,0.6110559754408512
BWI-PBI,IND-RSW,0.66434415991094
CMH-FLL,DCA-RSW,0.792186079784054
MCO-PIT,HPN-MCO,0.824643212779332
CMH-MCO,MCO-ROC,0.8449437582893378
IND-LAS,LAS-MKE,0.9194715486044168
MCO-PHL,MCO-SJU,0.9611632658590533
FLL-IND,BUF-RSW,1.0130403670884782
MDW-RSW,HPN-PBI,1.0859164960846173
IND-TPA,MKE-TPA,1.1684766023134867
BWI-LAX,MKE-PHX,1.2109078876336958
DTW-MCO,BOS-MCO,1.2558297479993856
BWI-SEA,MKE-SFO,1.3341380163996002
PIT-TPA,DCA-MCO,1.414289668253981
FLL-PIT,PIT-RSW,1.4404643034729052
BWI-FLL,DFW-MCO,1.6194498270602007
IND-MCO,MCO-RIC,1.758665915548684
BWI-TPA,ATL-MIA,2.133483990409151
BWI-MCO,ATL-MCO,2.1564275319713366
IAD-MCO,ATL-SRQ,2.317841405377495
MCO-MDW,BOS-RSW,2.3388322110932838
