period,year,quarter,main_percent,main_ci_low,main_ci_high,other_lcc_percent,other_lcc_ci_low,other_lcc_ci_high,other_lcc_florida_percent,other_lcc_florida_ci_low,other_lcc_florida_ci_high
2007Q4,2007,4,-6.676004724030005,-12.275853417830621,-0.15251902196104314,-2.935075454093295,-9.28700467973575,3.7035466302902416,3.7050062096185767,-3.3613576906243523,11.622046894656695
2008Q1,2008,1,-5.555394538489314,-11.157176203866186,0.461884809212135,-4.227541887910422,-9.97530586695332,1.7292513835321563,2.860929874608293,-3.6088495830697584,10.324537846403608
2008Q2,2008,2,-4.223616101074944,-9.818878941516566,1.8529112421105005,-4.614689167740562,-10.103672421160862,1.2089462496817514,1.5328623262341472,-3.6579637006542534,7.6608917270963
2008Q3,2008,3,-1.7747272077940437,-7.675304424546761,4.579818638783772,-2.6573375525163287,-8.6131284977412,3.914797164745017,2.5924838330218374,-3.3218479291331358,8.91176653544914
2008Q4,2008,4,-1.0080653672346562,-6.964504872646346,5.542014130221265,-0.7717601368799706,-7.087253708475762,5.812435596222966,3.7341863434548728,-2.711632466237953,9.576698924959457
2009Q1,2009,1,-0.600849168349984,-6.478908700522661,5.545892833096723,0.2310605563898611,-6.253633779027496,7.053014241784177,3.1267986753953467,-3.232857027350832,8.254806629011835
2009Q2,2009,2,-0.38125810613335165,-5.392827661881196,4.896562648977774,1.9972121066449515,-4.251973792940329,8.505194811957836,2.656716900513995,-3.26328661056565,7.612514256116565
2009Q3,2009,3,-2.1413013457790764,-5.855708088806011,1.9607435896938337,-0.4544336706567645,-5.463518968906627,4.812431210650073,-0.15770758851837574,-4.971369461754546,4.143787938074566
2009Q4,2009,4,-2.311332561233792,-4.612356843317736,0.18379477947204795,-1.5279993395362248,-5.0311702136993715,2.035087395998406,-1.6662579397116888,-5.0449098362147415,1.5193395871125936
2010Q1,2010,1,-1.4085401835252764,-2.6645436850441837,-0.14223203114593155,-0.7672838750169765,-2.3168072381850395,0.8016568392345793,-1.1799979025348186,-3.032892837328935,0.5837261465856591
2010Q2,2010,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010Q3,2010,3,2.3133072786351763,1.1217468432068183,3.588344232839645,3.6105063169295466,2.1755550464919766,5.019491571035575,2.745364636492257,1.1366884032933444,4.279088111713937
2010Q4,2010,4,3.225325016601467,1.1569477559797519,5.40783448803565,5.668086953379329,3.255960191158608,8.244307059144603,4.626709397939958,1.7161328099141389,7.441023647431794
2011Q1,2011,1,3.7946169521875945,0.7350545986947928,7.001358408268901,7.302071669571195,3.7134894681671344,10.98157208997564,6.128019496420083,1.7727100227518457,10.327549794155935
2011Q2,2011,2,4.545007346961742,0.8053603633387434,8.473372449783925,11.063312759082287,6.894491879519013,15.383514727879533,7.920788313740314,3.177578034019773,12.621396250790044
2011Q3,2011,3,4.89902825421215,0.973113290905283,9.063395683325217,13.253825807209878,8.970960314396432,17.61675596016833,8.642490276088195,3.6974705844532005,13.80923415128597
2011Q4,2011,4,5.094897166403265,0.9550302030387092,9.501459845880715,15.372319868325532,10.63789315752181,20.188120514579133,8.376736663807458,3.0171325682582273,14.490057411013913
2012Q1,2012,1,5.497594011587205,1.0595410058534926,10.333732502548559,18.93809114293752,14.109278731433813,23.836488006873044,9.736645120951376,4.787904246025098,14.964120165195261
2012Q2,2012,2,5.916135476089951,1.3169044181982743,10.895468260754116,18.86835313159326,14.233000809631166,23.527893297493815,10.241206286737167,4.132124933833708,16.27238635031441
2012Q3,2012,3,6.65764724950941,1.8541359061745306,12.103442526148157,20.049239174440707,15.293076144466422,25.052992167980115,12.451541851206645,6.702168524998288,18.455279161177618
2012Q4,2012,4,6.602145587000953,1.4050316603673985,12.349532093983422,20.747802095583875,14.944533511007938,26.45120837726639,15.429763451892944,9.503039171381014,21.808807047071806
2013Q1,2013,1,6.858730511951701,1.6738878331013487,12.27390182760876,20.3901199248179,13.84148077272544,27.215549910122625,17.312453096226037,10.699702089224516,24.68262821904854
2013Q2,2013,2,7.1712604018278014,1.9846057227765974,12.62850370520709,19.978886780845873,12.681901105204533,27.587531259465713,19.092097941513565,12.327233894813892,27.395378072120995
2013Q3,2013,3,8.059369342081906,2.6117666963157733,13.411266764862095,21.999884880915218,14.611782832569126,29.711006571086784,19.734906732218686,13.078116640564536,28.076250111992795
2013Q4,2013,4,8.958000264790268,3.7673566420522735,14.15877455475939,23.967356059488285,16.540555889014957,31.96200792114784,19.403041163922875,12.977033806533758,27.778414563576558
2014Q1,2014,1,9.076461332832961,4.003561940370856,14.393758170081176,24.712719352776556,16.80503088402226,33.19998556591893,19.47269587707948,12.121178881583333,28.507041223373758
2014Q2,2014,2,8.096173175271936,2.9615241660030414,13.47820911441021,25.447199169618955,17.57286612782504,33.988957027308544,17.44932500968308,10.839238878768674,25.43765069818729
2014Q3,2014,3,6.00212280145715,0.9096286997614593,11.491430715663936,23.715422322102306,15.675555092603718,32.18155403938513,14.91870156957068,8.812645440486559,22.081869112737394
2014Q4,2014,4,5.077171788461727,-0.19175208916894226,10.692978633838461,22.845139624553273,15.021614847267026,31.052951397549506,14.02302601322222,8.108541111934967,20.845136610055135
2015Q1,2015,1,3.680502633718388,-1.8731411573104615,9.606726684365238,20.425521632282255,12.744606959856105,28.334377552169865,11.214058981651624,5.930303280455066,17.17047534921048
2015Q2,2015,2,2.939205410162132,-2.7849778655529858,8.771429433832958,17.833667237131294,10.844001179847288,25.082646331840795,9.750070505010662,3.554903847175181,16.271039362294022
2015Q3,2015,3,1.9939477218225716,-4.042704079696432,8.300330687754238,15.78311686663424,8.673061188795872,22.974284116584425,8.759146155912072,1.7865799676926537,16.29087248429757
2015Q4,2015,4,1.2819161533294832,-4.981935402373832,8.050696286048693,14.79818616798958,7.752395187065801,21.982777689403648,7.552296944140448,-0.049626148711564906,15.707033298451256
